id,name,nick_name,front_img,back_img,type_1,type_2,ability_1,ability_2,ability_3,hp,attack,defense,sp_attack,sp_defense,speed,background
16,Pidgey,,http://www.pokestadium.com/sprites/xy/pidgey.gif,http://www.pokestadium.com/sprites/xy/back/pidgey.gif,Normal,Flying,,,,40,45,40,35,35,56,sky.gif
17,Pidgeotto,,http://www.pokestadium.com/sprites/xy/pidgeotto.gif,http://www.pokestadium.com/sprites/xy/back/pidgeotto.gif,Normal,Flying,,,,63,60,55,50,50,71,sky.gif
18,Pidgeot,,http://www.pokestadium.com/sprites/xy/pidgeot.gif,http://www.pokestadium.com/sprites/xy/pidgeot-2.gif,Normal,Flying,,,,83,80,75,70,70,101,sky.gif
19,Rattata,,http://www.pokestadium.com/sprites/xy/rattata.gif,http://www.pokestadium.com/sprites/xy/back/rattata.gif,Normal,,,,,30,56,35,25,35,72,grass.gif
20,Raticate,,http://www.pokestadium.com/sprites/xy/raticate.gif,http://www.pokestadium.com/sprites/xy/back/raticate.gif,Normal,,,,,55,81,60,50,70,97,grass.gif
21,Spearow,,http://www.pokestadium.com/sprites/xy/spearow.gif,http://www.pokestadium.com/sprites/xy/back/spearow.gif,Normal,Flying,,,,40,60,30,31,31,70,sky.gif
22,Fearow,,http://www.pokestadium.com/sprites/xy/fearow.gif,http://www.pokestadium.com/sprites/xy/back/fearow.gif,Normal,Flying,,,,65,90,65,61,61,100,sky.gif
23,Ekans,,http://www.pokestadium.com/sprites/xy/ekans.gif,http://www.pokestadium.com/sprites/xy/back/ekans.gif,Poison,,,,,35,60,44,40,54,55,grass.gif
24,Arbok,,http://www.pokestadium.com/sprites/xy/arbok.gif,http://www.pokestadium.com/sprites/xy/back/arbok.gif,Poison,,,,,60,85,69,65,79,80,grass.gif
25,Pikachu,,http://www.pokestadium.com/sprites/xy/pikachu.gif,http://www.pokestadium.com/sprites/xy/pikachu-3.gif,Electric,,,,,35,55,40,50,50,90,grass.gif
26,Raichu,,http://www.pokestadium.com/sprites/xy/raichu.gif,http://www.pokestadium.com/sprites/xy/raichu-3.gif,Electric,,,,,60,90,55,90,80,110,grass.gif
27,Sandshrew,,http://www.pokestadium.com/sprites/xy/sandshrew.gif,http://www.pokestadium.com/sprites/xy/back/sandshrew.gif,Ground,,,,,50,75,85,20,30,40,ground.gif
28,Sandslash,,http://www.pokestadium.com/sprites/xy/sandslash.gif,http://www.pokestadium.com/sprites/xy/back/sandslash.gif,Ground,,,,,75,100,110,45,55,65,ground.gif
29,Nidoran?,,http://www.pokestadium.com/sprites/xy/nidoranf.gif,http://www.pokestadium.com/sprites/xy/back/nidoranf.gif,Poison,,,,,55,47,52,40,40,41,grass.gif
30,Nidorina,,http://www.pokestadium.com/sprites/xy/nidorina.gif,http://www.pokestadium.com/sprites/xy/back/nidorina.gif,Poison,,,,,70,62,67,55,55,56,grass.gif
31,Nidoqueen,,http://www.pokestadium.com/sprites/xy/nidoqueen.gif,http://www.pokestadium.com/sprites/xy/back/nidoqueen.gif,Poison,Ground,,,,90,92,87,75,85,76,grass.gif
32,Nidoran?,,http://www.pokestadium.com/sprites/xy/nidoranm.gif,http://www.pokestadium.com/sprites/xy/back/nidoranm.gif,Poison,,,,,46,57,40,40,40,50,grass.gif
33,Nidorino,,http://www.pokestadium.com/sprites/xy/nidorino.gif,http://www.pokestadium.com/sprites/xy/back/nidorino.gif,Poison,,,,,61,72,57,55,55,65,grass.gif
34,Nidoking,,http://www.pokestadium.com/sprites/xy/nidoking.gif,http://www.pokestadium.com/sprites/xy/back/nidoking.gif,Poison,Ground,,,,81,102,77,85,75,85,grass.gif
35,Clefairy,,http://www.pokestadium.com/sprites/xy/clefairy.gif,http://www.pokestadium.com/sprites/xy/back/clefairy.gif,Fairy,,,,,70,45,48,60,65,35,fairy.gif
36,Clefable,,http://www.pokestadium.com/sprites/xy/clefable.gif,http://www.pokestadium.com/sprites/xy/back/clefable.gif,Fairy,,,,,95,70,73,95,90,60,fairy.gif
37,Vulpix,,http://www.pokestadium.com/sprites/xy/vulpix.gif,http://www.pokestadium.com/sprites/xy/back/vulpix.gif,Fire,,,,,38,41,40,50,65,65,fire.gif
38,Ninetales,,http://www.pokestadium.com/sprites/xy/ninetales.gif,http://www.pokestadium.com/sprites/xy/ninetales-3.gif,Fire,,,,,73,76,75,81,100,100,fire.gif
39,Jigglypuff,,http://www.pokestadium.com/sprites/xy/jigglypuff.gif,http://www.pokestadium.com/sprites/xy/jigglypuff-2.gif,Normal,Fairy,,,,115,45,20,45,25,20,fairy.gif
40,Wigglytuff,,http://www.pokestadium.com/sprites/xy/wigglytuff.gif,http://www.pokestadium.com/sprites/xy/back/wigglytuff.gif,Normal,Fairy,,,,140,70,45,85,50,45,fairy.gif
41,Zubat,,http://www.pokestadium.com/sprites/xy/zubat.gif,http://www.pokestadium.com/sprites/xy/zubat-2.gif,Poison,Flying,,,,40,45,35,30,40,55,ghost.gif
42,Golbat,,http://www.pokestadium.com/sprites/xy/golbat.gif,http://www.pokestadium.com/sprites/xy/golbat-2.gif,Poison,Flying,,,,75,80,70,65,75,90,ghost.gif
43,Oddish,,http://www.pokestadium.com/sprites/xy/oddish.gif,http://www.pokestadium.com/sprites/xy/back/oddish.gif,Grass,Poison,,,,45,50,55,75,65,30,grass.gif
44,Gloom,,http://www.pokestadium.com/sprites/xy/gloom.gif,http://www.pokestadium.com/sprites/xy/back/gloom.gif,Grass,Poison,,,,60,65,70,85,75,40,grass.gif
45,Vileplume,,http://www.pokestadium.com/sprites/xy/vileplume.gif,http://www.pokestadium.com/sprites/xy/back/vileplume.gif,Grass,Poison,,,,75,80,85,110,90,50,grass.gif
46,Paras,,http://www.pokestadium.com/sprites/xy/shiny/paras.gif,http://www.pokestadium.com/sprites/xy/shiny/back/paras.gif,Bug,Grass,,,,35,70,55,45,55,25,grass.gif
47,Parasect,,http://www.pokestadium.com/sprites/xy/parasect.gif,http://www.pokestadium.com/sprites/xy/back/parasect.gif,Bug,Grass,,,,60,95,80,60,80,30,grass.gif
48,Venonat,,http://www.pokestadium.com/sprites/xy/venonat.gif,http://www.pokestadium.com/sprites/xy/back/venonat.gif,Bug,Poison,,,,60,55,50,40,55,45,grass.gif
49,Venomoth,,http://www.pokestadium.com/sprites/xy/venomoth.gif,http://www.pokestadium.com/sprites/xy/back/venomoth.gif,Bug,Poison,,,,70,65,60,90,75,90,sky.gif
50,Diglett,,http://www.pokestadium.com/sprites/xy/diglett.gif,http://www.pokestadium.com/sprites/xy/back/diglett.gif,Ground,,,,,10,55,25,35,45,95,ground.gif
51,Dugtrio,,http://www.pokestadium.com/sprites/xy/dugtrio.gif,http://www.pokestadium.com/sprites/xy/back/dugtrio.gif,Ground,,,,,35,80,50,50,70,120,ground.gif
52,Meowth,,http://www.pokestadium.com/sprites/xy/meowth.gif,http://www.pokestadium.com/sprites/xy/back/meowth.gif,Normal,,,,,40,45,35,40,40,90,grass.gif
53,Persian,,http://www.pokestadium.com/sprites/xy/persian.gif,http://www.pokestadium.com/sprites/xy/back/persian.gif,Normal,,,,,65,70,60,65,65,115,grass.gif
54,Psyduck,,http://www.pokestadium.com/sprites/xy/psyduck.gif,http://www.pokestadium.com/sprites/xy/psyduck-2.gif,Water,,,,,50,52,48,65,50,55,ocean.gif
55,Golduck,,http://www.pokestadium.com/sprites/xy/golduck.gif,http://www.pokestadium.com/sprites/xy/back/golduck.gif,Water,,,,,80,82,78,95,80,85,ocean.gif
56,Mankey,,http://www.pokestadium.com/sprites/xy/mankey.gif,http://www.pokestadium.com/sprites/xy/back/mankey.gif,Fighting,,,,,40,80,35,35,45,70,dojo.gif
57,Primeape,,http://www.pokestadium.com/sprites/xy/primeape.gif,http://www.pokestadium.com/sprites/xy/back/primeape.gif,Fighting,,,,,65,105,60,60,70,95,dojo.gif
58,Growlithe,,http://www.pokestadium.com/sprites/xy/growlithe.gif,http://www.pokestadium.com/sprites/xy/back/growlithe.gif,Fire,,,,,55,70,45,70,50,60,fire.gif
59,Arcanine,,http://www.pokestadium.com/sprites/xy/arcanine.gif,http://www.pokestadium.com/sprites/xy/back/arcanine.gif,Fire,,,,,90,110,80,100,80,95,fire.gif
60,Poliwag,,http://www.pokestadium.com/sprites/xy/poliwag.gif,http://www.pokestadium.com/sprites/xy/back/poliwag.gif,Water,,,,,40,50,40,40,40,90,ocean.gif
61,Poliwhirl,,http://www.pokestadium.com/sprites/xy/poliwhirl.gif,http://www.pokestadium.com/sprites/xy/back/poliwhirl.gif,Water,,,,,65,65,65,50,50,90,ocean.gif
62,Poliwrath,,http://www.pokestadium.com/sprites/xy/poliwrath.gif,http://www.pokestadium.com/sprites/xy/back/poliwrath.gif,Water,Fighting,,,,90,95,95,70,90,70,ocean.gif
63,Abra,,http://www.pokestadium.com/sprites/xy/abra.gif,http://www.pokestadium.com/sprites/xy/abra-2.gif,Psychic,,,,,25,20,15,105,55,90,ghost.gif
64,Kadabra,,http://www.pokestadium.com/sprites/xy/kadabra.gif,http://www.pokestadium.com/sprites/xy/kadabra-2.gif,Psychic,,,,,40,35,30,120,70,105,ghost.gif
65,Alakazam,,http://www.pokestadium.com/sprites/xy/alakazam.gif,http://www.pokestadium.com/sprites/xy/alakazam-3.gif,Psychic,,,,,55,50,45,135,95,120,ghost.gif
66,Machop,,http://www.pokestadium.com/sprites/xy/machop.gif,http://www.pokestadium.com/sprites/xy/back/machop.gif,Fighting,,,,,70,80,50,35,35,35,dojo.gif
67,Machoke,,http://www.pokestadium.com/sprites/xy/machoke.gif,http://www.pokestadium.com/sprites/xy/back/machoke.gif,Fighting,,,,,80,100,70,50,60,45,dojo.gif
68,Machamp,,http://www.pokestadium.com/sprites/xy/machamp.gif,http://www.pokestadium.com/sprites/xy/back/machamp.gif,Fighting,,,,,90,130,80,65,85,55,dojo.gif
69,Bellsprout,,http://www.pokestadium.com/sprites/xy/bellsprout.gif,http://www.pokestadium.com/sprites/xy/back/bellsprout.gif,Grass,Poison,,,,50,75,35,70,30,40,grass.gif
70,Weepinbell,,http://www.pokestadium.com/sprites/xy/weepinbell.gif,http://www.pokestadium.com/sprites/xy/back/weepinbell.gif,Grass,Poison,,,,65,90,50,85,45,55,grass.gif
71,Victreebel,,http://www.pokestadium.com/sprites/xy/victreebel.gif,http://www.pokestadium.com/sprites/xy/back/victreebel.gif,Grass,Poison,,,,80,105,65,100,70,70,grass.gif
72,Tentacool,,http://www.pokestadium.com/sprites/xy/tentacool.gif,http://www.pokestadium.com/sprites/xy/back/tentacool.gif,Water,Poison,,,,40,40,35,50,100,70,ocean.gif
73,Tentacruel,,http://www.pokestadium.com/sprites/xy/tentacruel.gif,http://www.pokestadium.com/sprites/xy/back/tentacruel.gif,Water,Poison,,,,80,70,65,80,120,100,ocean.gif
74,Geodude,,http://www.pokestadium.com/sprites/xy/geodude.gif,http://www.pokestadium.com/sprites/xy/back/geodude.gif,Rock,Ground,,,,40,80,100,30,30,20,ground.gif
75,Graveler,,http://www.pokestadium.com/sprites/xy/graveler.gif,http://www.pokestadium.com/sprites/xy/back/graveler.gif,Rock,Ground,,,,55,95,115,45,45,35,ground.gif
76,Golem,,http://www.pokestadium.com/sprites/xy/golem.gif,http://www.pokestadium.com/sprites/xy/back/golem.gif,Rock,Ground,,,,80,120,130,55,65,45,ground.gif
77,Ponyta,,http://www.pokestadium.com/sprites/xy/ponyta.gif,http://www.pokestadium.com/sprites/xy/back/ponyta.gif,Fire,,,,,50,85,55,65,65,90,fire.gif
78,Rapidash,,http://www.pokestadium.com/sprites/xy/rapidash.gif,http://www.pokestadium.com/sprites/xy/back/rapidash.gif,Fire,,,,,65,100,70,80,80,105,fire.gif
79,Slowpoke,,http://www.pokestadium.com/sprites/xy/slowpoke.gif,http://www.pokestadium.com/sprites/xy/slowpoke-2.gif,Water,Psychic,,,,90,65,65,40,40,15,ocean.gif
80,Slowbro,,http://www.pokestadium.com/sprites/xy/slowbro.gif,http://www.pokestadium.com/sprites/xy/slowbro-2.gif,Water,Psychic,,,,95,75,110,100,80,30,ocean.gif
81,Magnemite,,http://www.pokestadium.com/sprites/xy/magnemite.gif,http://www.pokestadium.com/sprites/xy/back/magnemite.gif,Electric,Steel,,,,25,35,70,95,55,45,grass.gif
82,Magneton,,http://www.pokestadium.com/sprites/xy/magneton.gif,http://www.pokestadium.com/sprites/xy/back/magneton.gif,Electric,Steel,,,,50,60,95,120,70,70,grass.gif
83,Farfetch'd,,http://www.pokestadium.com/sprites/xy/farfetchd.gif,http://www.pokestadium.com/sprites/xy/back/farfetchd.gif,Normal,Flying,,,,52,65,55,58,62,60,sky.gif
84,Doduo,,http://www.pokestadium.com/sprites/xy/doduo.gif,http://www.pokestadium.com/sprites/xy/doduo-3.gif,Normal,Flying,,,,35,85,45,35,35,75,grass.gif
85,Dodrio,,http://www.pokestadium.com/sprites/xy/dodrio.gif,http://www.pokestadium.com/sprites/xy/dodrio-2.gif,Normal,Flying,,,,60,110,70,60,60,100,grass.gif
86,Seel,,http://www.pokestadium.com/sprites/xy/seel.gif,http://www.pokestadium.com/sprites/xy/back/seel.gif,Water,,,,,65,45,55,45,70,45,ocean.gif
87,Dewgong,,http://www.pokestadium.com/sprites/xy/dewgong.gif,http://www.pokestadium.com/sprites/xy/back/dewgong.gif,Water,Ice,,,,90,70,80,70,95,70,ice.gif
88,Grimer,,http://www.pokestadium.com/sprites/xy/grimer.gif,http://www.pokestadium.com/sprites/xy/back/grimer.gif,Poison,,,,,80,80,50,40,50,25,ghost.gif
89,Muk,,http://www.pokestadium.com/sprites/xy/muk.gif,http://www.pokestadium.com/sprites/xy/back/muk.gif,Poison,,,,,105,105,75,65,100,50,ghost.gif
90,Shellder,,http://www.pokestadium.com/sprites/xy/shellder.gif,http://www.pokestadium.com/sprites/xy/back/shellder.gif,Water,,,,,30,65,100,45,25,40,ocean.gif
91,Cloyster,,http://www.pokestadium.com/sprites/xy/cloyster.gif,http://www.pokestadium.com/sprites/xy/back/cloyster.gif,Water,Ice,,,,50,95,180,85,45,70,ocean.gif
92,Gastly,,http://www.pokestadium.com/sprites/xy/gastly.gif,http://www.pokestadium.com/sprites/xy/back/gastly.gif,Ghost,Poison,,,,30,35,30,100,35,80,ghost.gif
93,Haunter,,http://www.pokestadium.com/sprites/xy/haunter.gif,http://www.pokestadium.com/sprites/xy/haunter-2.gif,Ghost,Poison,,,,45,50,45,115,55,95,ghost.gif
94,Gengar,,http://www.pokestadium.com/sprites/xy/gengar.gif,http://www.pokestadium.com/sprites/xy/gengar-3.gif,Ghost,Poison,,,,60,65,60,130,75,110,ghost.gif
95,Onix,,http://www.pokestadium.com/sprites/xy/onix.gif,http://www.pokestadium.com/sprites/xy/back/onix.gif,Rock,Ground,,,,35,45,160,30,45,70,ground.gif
96,Drowzee,,http://www.pokestadium.com/sprites/xy/drowzee.gif,http://www.pokestadium.com/sprites/xy/back/drowzee.gif,Psychic,,,,,60,48,45,43,90,42,ghost.gif
97,Hypno,,http://www.pokestadium.com/sprites/xy/hypno.gif,http://www.pokestadium.com/sprites/xy/back/hypno.gif,Psychic,,,,,85,73,70,73,115,67,ghost.gif
98,Krabby,,http://www.pokestadium.com/sprites/xy/krabby.gif,http://www.pokestadium.com/sprites/xy/back/krabby.gif,Water,,,,,30,105,90,25,25,50,ocean.gif
99,Kingler,,http://www.pokestadium.com/sprites/xy/kingler.gif,http://www.pokestadium.com/sprites/xy/back/kingler.gif,Water,,,,,55,130,115,50,50,75,ocean.gif
100,Voltorb,,http://www.pokestadium.com/sprites/xy/voltorb.gif,http://www.pokestadium.com/sprites/xy/back/voltorb.gif,Electric,,,,,40,30,50,55,55,100,grass.gif
101,Electrode,,http://www.pokestadium.com/sprites/xy/electrode.gif,http://www.pokestadium.com/sprites/xy/back/electrode.gif,Electric,,,,,60,50,70,80,80,140,grass.gif
102,Exeggcute,,http://www.pokestadium.com/sprites/xy/exeggcute.gif,http://www.pokestadium.com/sprites/xy/back/exeggcute.gif,Grass,Psychic,,,,60,40,80,60,45,40,grass.gif
103,Exeggutor,,http://www.pokestadium.com/sprites/xy/exeggutor.gif,http://www.pokestadium.com/sprites/xy/back/exeggutor.gif,Grass,Psychic,,,,95,95,85,125,65,55,grass.gif
104,Cubone,,http://www.pokestadium.com/sprites/xy/cubone.gif,http://www.pokestadium.com/sprites/xy/back/cubone.gif,Ground,,,,,50,50,95,40,50,35,ground.gif
105,Marowak,,http://www.pokestadium.com/sprites/xy/marowak.gif,http://www.pokestadium.com/sprites/xy/back/marowak.gif,Ground,,,,,60,80,110,50,80,45,ground.gif
106,Hitmonlee,,http://www.pokestadium.com/sprites/xy/hitmonlee.gif,http://www.pokestadium.com/sprites/xy/back/hitmonlee.gif,Fighting,,,,,50,120,53,35,110,87,dojo.gif
107,Hitmonchan,,http://www.pokestadium.com/sprites/xy/hitmonchan.gif,http://www.pokestadium.com/sprites/xy/back/hitmonchan.gif,Fighting,,,,,50,105,79,35,110,76,dojo.gif
108,Lickitung,,http://www.pokestadium.com/sprites/xy/lickitung.gif,http://www.pokestadium.com/sprites/xy/lickitung-2.gif,Normal,,,,,90,55,75,60,75,30,grass.gif
109,Koffing,,http://www.pokestadium.com/sprites/xy/koffing.gif,http://www.pokestadium.com/sprites/xy/back/koffing.gif,Poison,,,,,40,65,95,60,45,35,ghost.gif
110,Weezing,,http://www.pokestadium.com/sprites/xy/weezing.gif,http://www.pokestadium.com/sprites/xy/back/weezing.gif,Poison,,,,,65,90,120,85,70,60,ghost.gif
111,Rhyhorn,,http://www.pokestadium.com/sprites/xy/rhyhorn.gif,http://www.pokestadium.com/sprites/xy/back/rhyhorn.gif,Ground,Rock,,,,80,85,95,30,30,25,ground.gif
112,Rhydon,,http://www.pokestadium.com/sprites/xy/rhydon.gif,http://www.pokestadium.com/sprites/xy/back/rhydon.gif,Ground,Rock,,,,105,130,120,45,45,40,ground.gif
113,Chansey,,http://www.pokestadium.com/sprites/xy/chansey.gif,http://www.pokestadium.com/sprites/xy/back/chansey.gif,Normal,,,,,250,5,5,35,105,50,grass.gif
114,Tangela,,http://www.pokestadium.com/sprites/xy/tangela.gif,http://www.pokestadium.com/sprites/xy/back/tangela.gif,Grass,,,,,65,55,115,100,40,60,grass.gif
115,Kangaskhan,,http://www.pokestadium.com/sprites/xy/kangaskhan.gif,http://www.pokestadium.com/sprites/xy/back/kangaskhan.gif,Normal,,,,,105,95,80,40,80,90,grass.gif
116,Horsea,,http://www.pokestadium.com/sprites/xy/horsea.gif,http://www.pokestadium.com/sprites/xy/back/horsea.gif,Water,,,,,30,40,70,70,25,60,ocean.gif
117,Seadra,,http://www.pokestadium.com/sprites/xy/seadra.gif,http://www.pokestadium.com/sprites/xy/back/seadra.gif,Water,,,,,55,65,95,95,45,85,ocean.gif
118,Goldeen,,http://www.pokestadium.com/sprites/xy/goldeen.gif,http://www.pokestadium.com/sprites/xy/goldeen-2.gif,Water,,,,,45,67,60,35,50,63,ocean.gif
119,Seaking,,http://www.pokestadium.com/sprites/xy/seaking.gif,http://www.pokestadium.com/sprites/xy/back/seaking.gif,Water,,,,,80,92,65,65,80,68,ocean.gif
120,Staryu,,http://www.pokestadium.com/sprites/xy/staryu.gif,http://www.pokestadium.com/sprites/xy/back/staryu.gif,Water,,,,,30,45,55,70,55,85,ocean.gif
121,Starmie,,http://www.pokestadium.com/sprites/xy/starmie.gif,http://www.pokestadium.com/sprites/xy/back/starmie.gif,Water,Psychic,,,,60,75,85,100,85,115,ocean.gif
122,Mr. Mime,,http://www.pokestadium.com/sprites/xy/mr-mime.gif,http://www.pokestadium.com/sprites/xy/mr-mime-2.gif,Psychic,Fairy,,,,40,45,65,100,120,90,fairy.gif
123,Scyther,,http://www.pokestadium.com/sprites/xy/scyther.gif,http://www.pokestadium.com/sprites/xy/back/scyther.gif,Bug,Flying,,,,70,110,80,55,80,105,grass.gif
124,Jynx,,http://www.pokestadium.com/sprites/xy/jynx.gif,http://www.pokestadium.com/sprites/xy/back/jynx.gif,Ice,Psychic,,,,65,50,35,115,95,95,ice.gif
125,Electabuzz,,http://www.pokestadium.com/sprites/xy/electabuzz.gif,http://www.pokestadium.com/sprites/xy/back/electabuzz.gif,Electric,,,,,65,83,57,95,85,105,grass.gif
126,Magmar,,http://www.pokestadium.com/sprites/xy/magmar.gif,http://www.pokestadium.com/sprites/xy/back/magmar.gif,Fire,,,,,65,95,57,100,85,93,fire.gif
127,Pinsir,,http://www.pokestadium.com/sprites/xy/pinsir.gif,http://www.pokestadium.com/sprites/xy/back/pinsir.gif,Bug,,,,,65,125,100,55,70,85,grass.gif
128,Tauros,,http://www.pokestadium.com/sprites/xy/tauros.gif,http://www.pokestadium.com/sprites/xy/back/tauros.gif,Normal,,,,,75,100,95,40,70,110,grass.gif
129,Magikarp,,http://www.pokestadium.com/sprites/xy/magikarp.gif,http://www.pokestadium.com/sprites/xy/magikarp-2.gif,Water,,,,,20,10,55,15,20,80,ocean.gif
130,Gyarados,,http://www.pokestadium.com/sprites/xy/gyarados.gif,http://www.pokestadium.com/sprites/xy/gyarados-3.gif,Water,Flying,,,,95,125,79,60,100,81,ocean.gif
131,Lapras,,http://www.pokestadium.com/sprites/xy/lapras.gif,http://www.pokestadium.com/sprites/xy/lapras-2.gif,Water,Ice,,,,130,85,80,85,95,60,ocean.gif
132,Ditto,,http://www.pokestadium.com/sprites/xy/ditto.gif,http://www.pokestadium.com/sprites/xy/back/ditto.gif,Normal,,,,,48,48,48,48,48,48,ground.gif
133,Eevee,,http://www.pokestadium.com/sprites/xy/eevee.gif,http://www.pokestadium.com/sprites/xy/eevee-3.gif,Normal,,,,,55,55,50,45,65,55,grass.gif
134,Vaporeon,,http://www.pokestadium.com/sprites/xy/vaporeon.gif,http://www.pokestadium.com/sprites/xy/vaporeon-2.gif,Water,,,,,130,65,60,110,95,65,ocean.gif
135,Jolteon,,http://www.pokestadium.com/sprites/xy/jolteon.gif,http://www.pokestadium.com/sprites/xy/back/jolteon.gif,Electric,,,,,65,65,60,110,95,130,grass.gif
136,Flareon,,http://www.pokestadium.com/sprites/xy/flareon.gif,http://www.pokestadium.com/sprites/xy/flareon-2.gif,Fire,,,,,65,130,60,95,110,65,fire.gif
137,Porygon,,http://www.pokestadium.com/sprites/xy/porygon.gif,http://www.pokestadium.com/sprites/xy/back/porygon.gif,Normal,,,,,65,60,70,85,75,40,grass.gif
138,Omanyte,,http://www.pokestadium.com/sprites/xy/omanyte.gif,http://www.pokestadium.com/sprites/xy/back/omanyte.gif,Rock,Water,,,,35,40,100,90,55,35,ocean.gif
139,Omastar,,http://www.pokestadium.com/sprites/xy/omastar.gif,http://www.pokestadium.com/sprites/xy/back/omastar.gif,Rock,Water,,,,70,60,125,115,70,55,ocean.gif
140,Kabuto,,http://www.pokestadium.com/sprites/xy/kabuto.gif,http://www.pokestadium.com/sprites/xy/back/kabuto.gif,Rock,Water,,,,30,80,90,55,45,55,ground.gif
141,Kabutops,,http://www.pokestadium.com/sprites/xy/kabutops.gif,http://www.pokestadium.com/sprites/xy/back/kabutops.gif,Rock,Water,,,,60,115,105,65,70,80,ground.gif
142,Aerodactyl,,http://www.pokestadium.com/sprites/xy/aerodactyl.gif,http://www.pokestadium.com/sprites/xy/aerodactyl-3.gif,Rock,Flying,,,,80,105,65,60,75,130,sky.gif
143,Snorlax,,http://www.pokestadium.com/sprites/xy/snorlax.gif,http://www.pokestadium.com/sprites/xy/back/snorlax.gif,Normal,,,,,160,110,65,65,110,30,grass.gif
144,Articuno,,http://www.pokestadium.com/sprites/xy/articuno.gif,http://www.pokestadium.com/sprites/xy/back/articuno.gif,Ice,Flying,,,,90,85,100,95,125,85,ice.gif
145,Zapdos,,http://www.pokestadium.com/sprites/xy/zapdos.gif,http://www.pokestadium.com/sprites/xy/back/zapdos.gif,Electric,Flying,,,,90,90,85,125,90,100,sky.gif
146,Moltres,,http://www.pokestadium.com/sprites/xy/moltres.gif,http://www.pokestadium.com/sprites/xy/back/moltres.gif,Fire,Flying,,,,90,100,90,125,85,90,sky.gif
147,Dratini,,http://www.pokestadium.com/sprites/xy/dratini.gif,http://www.pokestadium.com/sprites/xy/back/dratini.gif,Dragon,,,,,41,64,45,50,50,50,fairy.gif
148,Dragonair,,http://www.pokestadium.com/sprites/xy/dragonair.gif,http://www.pokestadium.com/sprites/xy/dragonair-2.gif,Dragon,,,,,61,84,65,70,70,70,fairy.gif
149,Dragonite,,http://www.pokestadium.com/sprites/xy/dragonite.gif,http://www.pokestadium.com/sprites/xy/dragonite-2.gif,Dragon,Flying,,,,91,134,95,100,100,80,sky.gif
150,Mewtwo,,http://www.pokestadium.com/sprites/xy/mewtwo.gif,http://www.pokestadium.com/sprites/xy/back/mewtwo.gif,Psychic,,,,,106,110,90,154,90,130,fairy.gif
